-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature_names
-- id	names
NP_414576.4	ECK0035	alternate
NP_414576.4	JW0033	alternate
NP_414576.4	90111079	alternate
NP_414576.4	944795	alternate
NP_414576.4	b0034	alternate
NP_414576.4	NP_414576	alternate
NP_414577.2	caiE	primary
NP_414577.2	b0035	alternate
NP_414577.2	948999	alternate
NP_414577.2	90111080	alternate
NP_414577.2	NP_414577.2	alternate
NP_414577.2	ECK0036	alternate
NP_414577.2	JW5004	alternate
NP_414577.2	90111080	alternate
NP_414577.2	948999	alternate
NP_414577.2	b0035	alternate
NP_414577.2	NP_414577	alternate
NP_414578.1	caiD	primary
NP_414578.1	b0036	alternate
NP_414578.1	948995	alternate
NP_414578.1	16128030	alternate
NP_414578.1	NP_414578.1	alternate
NP_414578.1	ECK0037	alternate
NP_414578.1	yaaL	alternate
NP_414578.1	JW0035	alternate
NP_414578.1	16128030	alternate
NP_414578.1	948995	alternate
NP_414578.1	b0036	alternate
NP_414578.1	NP_414578	alternate
NP_414579.3	caiC	primary
NP_414579.3	b0037	alternate
NP_414579.3	944886	alternate
NP_414579.3	49175993	alternate
NP_414579.3	NP_414579.3	alternate
NP_414579.3	ECK0038	alternate
NP_414579.3	yaaM	alternate
NP_414579.3	JW0036	alternate
NP_414579.3	49175993	alternate
NP_414579.3	944886	alternate
NP_414579.3	b0037	alternate
NP_414579.3	NP_414579	alternate
NP_414580.1	caiB	primary
NP_414580.1	b0038	alternate
NP_414580.1	948997	alternate
NP_414580.1	16128032	alternate
NP_414580.1	NP_414580.1	alternate
NP_414580.1	ECK0039	alternate
NP_414580.1	JW0037	alternate
NP_414580.1	yaaN	alternate
NP_414580.1	16128032	alternate
NP_414580.1	948997	alternate
NP_414580.1	b0038	alternate
NP_414580.1	NP_414580	alternate
NP_414581.1	caiA	primary
NP_414581.1	b0039	alternate
NP_414581.1	949064	alternate
NP_414581.1	16128033	alternate
NP_414581.1	NP_414581.1	alternate
NP_414581.1	ECK0040	alternate
NP_414581.1	yaaO	alternate
NP_414581.1	JW0038	alternate
NP_414581.1	16128033	alternate
NP_414581.1	949064	alternate
NP_414581.1	b0039	alternate
NP_414581.1	NP_414581	alternate
NP_414582.1	caiT	primary
NP_414582.1	b0040	alternate
NP_414582.1	944765	alternate
NP_414582.1	16128034	alternate
NP_414582.1	NP_414582.1	alternate
NP_414582.1	ECK0041	alternate
NP_414582.1	JW0039	alternate
NP_414582.1	yaaP	alternate
NP_414582.1	16128034	alternate
NP_414582.1	944765	alternate
NP_414582.1	b0040	alternate
NP_414582.1	NP_414582	alternate
NP_414583.2	fixA	primary
NP_414583.2	b0041	alternate
NP_414583.2	947316	alternate
NP_414583.2	90111081	alternate
NP_414583.2	NP_414583.2	alternate
NP_414583.2	ECK0042	alternate
NP_414583.2	yaaQ	alternate
NP_414583.2	JW0040	alternate
NP_414583.2	90111081	alternate
NP_414583.2	947316	alternate
NP_414583.2	b0041	alternate
NP_414583.2	NP_414583	alternate
NP_414584.1	fixB	primary
NP_414584.1	b0042	alternate
NP_414584.1	948939	alternate
NP_414584.1	16128036	alternate
NP_414584.1	NP_414584.1	alternate
NP_414584.1	ECK0043	alternate
NP_414584.1	JW0041	alternate
NP_414584.1	yaaR	alternate
NP_414584.1	16128036	alternate
NP_414584.1	948939	alternate
NP_414584.1	b0042	alternate
NP_414584.1	NP_414584	alternate
NP_414585.1	fixC	primary
NP_414585.1	b0043	alternate
NP_414585.1	948958	alternate
NP_414585.1	16128037	alternate
NP_414585.1	NP_414585.1	alternate
NP_414585.1	ECK0044	alternate
NP_414585.1	JW0042	alternate
NP_414585.1	yaaS	alternate
NP_414585.1	16128037	alternate
NP_414585.1	948958	alternate
NP_414585.1	b0043	alternate
NP_414585.1	NP_414585	alternate
NP_414586.1	fixX	primary
NP_414586.1	b0044	alternate
NP_414586.1	948590	alternate
NP_414586.1	16128038	alternate
NP_414586.1	NP_414586.1	alternate
NP_414586.1	ECK0045	alternate
NP_414586.1	yaaT	alternate
NP_414586.1	JW0043	alternate
NP_414586.1	16128038	alternate
NP_414586.1	948590	alternate
NP_414586.1	b0044	alternate
NP_414586.1	NP_414586	alternate
NP_414587.1	yaaU	primary
NP_414587.1	b0045	alternate
NP_414587.1	944766	alternate
NP_414587.1	16128039	alternate
NP_414587.1	NP_414587.1	alternate
NP_414587.1	ECK0046	alternate
NP_414587.1	JW0044	alternate
NP_414587.1	yabE	alternate
NP_414587.1	16128039	alternate
NP_414587.1	944766	alternate
NP_414587.1	b0045	alternate
NP_414587.1	NP_414587	alternate
NP_414588.1	kefF	primary
NP_414588.1	b0046	alternate
NP_414588.1	944767	alternate
NP_414588.1	16128040	alternate
NP_414588.1	NP_414588.1	alternate
NP_414588.1	ECK0047	alternate
NP_414588.1	yabF	alternate
NP_414588.1	JW0045	alternate
NP_414588.1	16128040	alternate
NP_414588.1	944767	alternate
NP_414588.1	b0046	alternate
